car_name,brand,car_model,registration,model_year,transmission,body_type,fuel_type,engine_capacity,kilometers_run,price
Toyota Vitz 2012,Toyota,Vitz,2016,2012,Automatic,Hatchback,Octane,1300,45000,1392000
Toyota Hiace AMBULANCE 2015,Toyota,Hiace,2017,2015,Automatic,MPV,Petrol,1500,60000,1125200
Toyota Hiace GL 2016,Toyota,Hiace,2018,2016,Automatic,MPV,"Petrol, Octane",2000,46810,2668000
Toyota Hiace 2016,Toyota,Hiace,2018,2016,Automatic,MPV,Octane,2000,45557,3306000
Toyota Prius S 2016,Toyota,Prius,2018,2016,Automatic,Saloon,"Petrol, Hybrid, Octane",1800,21065,2898840
Honda Vezel RS Pacag Octan Drive 2016,Honda,Vezel,2016,2016,Automatic,Estate,Octane,1500,52314,2375000
Toyota Axio G 2013,Toyota,Axio,2017,2013,Automatic,Saloon,"CNG, Octane",1500,45300,1676200
Toyota Corolla Se Salon 2000,Toyota,Corolla,2006,2000,Automatic,Saloon,"CNG, Octane",1500,74500,690200
Toyota Corolla 110 2000,Toyota,Corolla,2001,2000,Automatic,Saloon,"CNG, Octane",1500,82500,812000
BMW 520d F10 2011,BMW,520d,2011,2011,Automatic,Saloon,Diesel,2000,56703,4970000
Toyota Hiace GL 2017,Toyota,Hiace,2019,2017,Automatic,MPV,"Petrol, Octane",2000,64820,3932400
Toyota Axio 2011,Toyota,Axio,2017,2011,Automatic,Saloon,"CNG, Octane",1500,75200,1409400
Toyota Harrier 2014,Toyota,Harrier,2018,2014,Automatic,SUV / 4x4,Octane,2000,55870,6264000
Toyota Aqua S 2015,Toyota,Aqua,2018,2015,Automatic,Hatchback,"Petrol, Hybrid, Octane",1500,65222,1682000
Toyota Premio 2014,Toyota,Premio,2016,2017,Automatic,Saloon,Octane,1500,43000,2842000
Toyota Prado Land Cruiser 2004,Toyota,Prado,2007,2004,Automatic,MPV,Octane,2700,125000,2146000
Toyota Allion G 2012,Toyota,Allion,2017,2012,Automatic,Saloon,Octane,1500,61000,2185000
Toyota Prius 2016,Toyota,Prius,2018,2016,Automatic,Hatchback,Hybrid,1800,37000,3190000
Toyota Corolla SUPER FRESH-1500 CC 2004,Toyota,Corolla,2010,2004,Automatic,Saloon,"CNG, Octane",1500,74000,1165000
Toyota Hiace Super GL 2010,Toyota,Hiace,2014,2010,Automatic,MPV,"CNG, Octane",2000,72000,2082200
